"product_review","word","n","sentiment"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","messy",40,"negative"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","sturdy",40,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pleased",39,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","pleased",39,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","wrong",38,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","break",38,"surprise"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","tickle",38,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","tickle",38,"joy"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","tickle",38,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","tickle",38,"surprise"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","tickle",38,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","money",38,"anger"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","money",38,"anticipation"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","money",38,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","money",38,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","money",38,"surprise"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","money",38,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","difficult",37,"fear"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","pretty",37,"anticipation"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","pretty",37,"joy"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","pretty",37,"positive"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","pretty",37,"trust"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","deal",36,"anticipation"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","deal",36,"joy"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","deal",36,"positive"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","deal",36,"surprise"
"Cozy Shag Collection Grey Solid Shag Rug (3'3""X4'7"") Contemporary Living and Bedroom Soft Shaggy Area Rug","deal",36,"trust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","base",36,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","immediately",36,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","immediately",36,"negative"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","immediately",36,"positive"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","larger",35,"disgust"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","larger",35,"surprise"
"Cuisinart CSBP-100 3-in-1 Stuffed Burger Press, Black","larger",35,"trust"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","cleaning",35,"positive"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","instructions",35,"anticipation"
"Elizavecca Milky Piggy Carbonated Bubble Clay Mask","instructions",35,"trust"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","happy",35,"anticipation"
"OXO Good Grips 3-in-1 Avocado Slicer - Green","happy",35,"joy"
